type;ator;qtd
Movie;Steve Coogan;10
Movie;Vivek Oberoi;10
Movie;Anthony Anderson;10
Movie;Shraddha Kapoor;10
Movie;Stephen Lang;10
Movie;Zakir Hussain;10
Movie;Brijendra Kala;10
Movie;Laura Linney;10
Movie;Stephen Fry;10
Movie;Sardar Sohi;10
Movie;John Carroll Lynch;10
Movie;Shreyas Talpade;10
Movie;Luis Guzmán;10
Movie;Anna Kendrick;10
Movie;Anthony Hopkins;10
Movie;John Paul Tremblay;10
Movie;Neha Dhupia;10
Movie;Reza Rahadian;10
Movie;Maria Bello;10
Movie;Louis Koo;10
Movie;John Leguizamo;10
Movie;Frank Grillo;10
Movie;Atul Kulkarni;10
Movie;Emile Hirsch;10
Movie;Greg Kinnear;10
Movie;Colin Farrell;10
Movie;Susan Sarandon;10
Movie;Eric Idle;10
Movie;Terrence Howard;10
Movie;Donnie Yen;10
Movie;Ramya Krishnan;10
Movie;Will Smith;10
Movie;Rosario Dawson;10
Movie;Rob Schneider;10
Movie;Johnny Lever;10
Movie;Luke Wilson;10
Movie;Kathryn Bernardo;10
Movie;Arshad Warsi;10
Movie;Patrick Wilson;10
Movie;Ian James Corlett;10
Movie;Yuki Kaji;10
Movie;Sonam Kapoor;10
Movie;Sonali Kulkarni;10
Movie;Zoe Saldana;10
Movie;Nick Swardson;10
Movie;Segun Arinze;10
Movie;Alec Baldwin;10
Movie;America Young;10
Movie;Erin Mathews;10
Movie;Loretta Devine;10
Movie;Eddie Murphy;10
Movie;Joke Silva;10
Movie;Ashleigh Ball;10
Movie;Nicole Kidman;10
Movie;Kevin James;10
Movie;Cam Gigandet;9
Movie;Will Forte;9
Movie;Carla Gugino;9
Movie;Forest Whitaker;9
Movie;Tony Hale;9
Movie;Farida Jalal;9
Movie;Sylvester Stallone;9
Movie;Sam Worthington;9
Movie;Cedric the Entertainer;9
Movie;Jim Gaffigan;9
Movie;Steve Zahn;9
Movie;James Hong;9
Movie;Elizabeth Banks;9
Movie;Frank Langella;9
