type;diretor;qtd
Movie;Noriyuki Abe;3
Movie;Tope Oshin;3
Movie;Adam Shankman;3
Movie;Mikhail Red;3
Movie;Adam McKay;3
Movie;Toshiyuki Kubooka;3
Movie;B. V. Nandini Reddy;3
Movie;Mohamed Samy;3
Movie;Nila Madhab Panda;3
Movie;Momoko Kamiya;3
Movie;Morgan Neville;3
Movie;Munjal Shroff;3
Movie;Nate Adams;3
Movie;Note Chern-Yim;3
Movie;Mike Flanagan;3
Movie;Asit Mohapatra;3
Movie;Michèle Ohayon;3
Movie;Atom Egoyan;3
Movie;Michael Dowse;3
Movie;Michael Bay;3
Movie;Matías Gueilburt;3
Movie;Vicky Matthews;3
Movie;Vikas Bahl;3
Movie;Olivia M. Lamasan;3
Movie;Olivier Assayas;3
Movie;Neal Brennan;3
Movie;Mark Raso;3
Movie;Aziz Mirza;3
Movie;Mark A.Z. Dippé;3
Movie;Onir;3
Movie;Mark Waters;3
Movie;Marc Forster;3
Movie;Vivieno Caldinelli;3
Movie;Les Mayfield;3
Movie;Charles Stone III;3
Movie;G.J. Echternkamp;3
Movie;Gabriele Muccino;3
Movie;Gajendra Ahire;3
Movie;Chapman Way;3
Movie;Garry Marshall;3
Movie;Chandrakant Kulkarni;3
Movie;Gastón Duprat;3
Movie;Gerardo Olivares;3
Movie;Gilles Paquet-Brenner;3
Movie;Gonzalo López-Gallego;3
Movie;Greg MacGillivray;3
Movie;Cem Yılmaz;3
Movie;Greg Rankin;3
Movie;Guillermo del Toro;3
Movie;Yoshikazu Yasuhiko;3
Movie;Hardik Mehta;3
Movie;Hasan Karacadağ;3
Movie;Yasmin Ahmad;3
Movie;Frank Oz;3
Movie;Frank Coraci;3
Movie;Florent Bodin;3
Movie;Chris Weitz;3
Movie;Craig Brewer;3
Movie;Christopher Nolen;3
Movie;Dante Lam;3
Movie;David Ayer;3
Movie;Ömer Faruk Sorak;3
Movie;David Mackenzie;3
Movie;David Michôd;3
Movie;David R. Ellis;3
Movie;Chris Smith;3
Movie;Cheh Chang;3
Movie;Diego Pignataro;3
Movie;Chris Howe;3
Movie;Drake Doremus;3
Movie;Dustin McKenzie;3
Movie;Chris Buck;3
Movie;Eric Darnell;3
Movie;Ethan Coen;3
Movie;Ezekiel Norton;3
Movie;Hiroyuki Seshita;3
Movie;Wolfgang Petersen;3
Movie;Ishaya Bako;3
Movie;Walter C. Miller;3
Movie;Blair Simmons;3
Movie;Walter Hill;3
Movie;Karthik Subbaraj;3
Movie;Peter Spirer;3
Movie;Kazuchika Kise;3
Movie;Ken Ghosh;3
Movie;Kenneth Gyang;3
Movie;Ketan Mehta;3
Movie;Kief Davidson;3
Movie;Bobcat Goldthwait;3
Movie;Kim Nguyen;3
Movie;Abhinay Deo;3
Movie;Abhishek Kapoor;3
Movie;Abhishek Sharma;3
Movie;Latif Faiziyev;3
Movie;Leena Yadav;3
Movie;Leigh Janiak;3
Movie;Lekh Tandon;3
Movie;Bobby Farrelly;3
Movie;Brad Anderson;3
Movie;Ismail Farouk;3
Movie;Joe Berlinger;3
Movie;Israel Adrián Caetano;3
Movie;Burak Aksak;3
Movie;Ivan Reitman;3
Movie;James Wan;3
Movie;Jane Campion;3
Movie;Jeff Baena;3
Movie;Jeff Nichols;3
Movie;Jerry Rothwell;3
Movie;Joe Camp;3
Movie;Jonathan Demme;3
Movie;Joel Coen;3
Movie;Brett Haley;3
Movie;John Asher;3
Movie;John Fortenberry;3
Movie;John Lee Hancock;3
Movie;John Schultz;3
Movie;Jon M. Chu;3
Movie;Jon Rosenbaum;3
Movie;Karyn Kusama;3
Movie;Ashwin Saravanan;3
Movie;Rajiv Menon;3
Movie;Renny Harlin;3
Movie;Tate Taylor;3
Movie;Remo D'Souza;3
Movie;Reginald Hudlin;3
Movie;Rano Karno;3
Movie;Theodore Boborol;3
Movie;Andrew Duncan;3
Movie;Adze Ugah;3
Movie;Rako Prijanto;3
Movie;Timo Tjahjanto;3
Movie;Rajkumar Hirani;3
Movie;Steve Sacks;3
Movie;Andrew Lau Wai-Keung;3
Movie;Seyi Babatope;3
Movie;Seth Barrish;3
Movie;Alex Díaz;3
Movie;Steven C. Miller;3
Movie;Sachin Yardi;3
Movie;Adriano Rudiman;3
Movie;Sermiyan Midyat;3
Movie;Sujoy Ghosh;3
Movie;Raj Kumar Gupta;3
Movie;Shawn Levy;3
Movie;Ron Oliver;3
Movie;Sumitra Bhave;3
Movie;Ron Myrick;3
Movie;Tim Burton;3
Movie;Robert O. Peters;3
Movie;Amr Arafa;3
Movie;Robert Zemeckis;3
Movie;Simon Wells;3
Movie;Rob Cohen;3
Movie;Simon Wincer;3
Movie;Amitoj Mann;3
Movie;Ricky Gervais;3
Movie;Richard Weston;3
Movie;Sofia Coppola;3
Movie;Soudade Kaadan;3
Movie;Ric Roman Waugh;3
Movie;Roger Allers;3
Movie;Ribhu Dasgupta;3
Movie;Roger Donaldson;3
Movie;Alex Lehmann;3
Movie;Roland Emmerich;3
Movie;Shirish Kunder;3
Movie;Ahmed Al-Badry;3
Movie;Andibachtiar Yusuf;3
Movie;Raj Kapoor;3
Movie;Shyamal Chaulia;3
Movie;Prakash Mehra;3
Movie;Sylvester Stallone;3
Movie;Pratim D. Gupta;3
Movie;Alexis Morante;3
Movie;Alfonso Cuarón;3
Movie;Todd Phillips;3
Movie;Phillip Noyce;3
Movie;Petra Costa;3
Movie;Peyton Reed;3
Movie;Scott Zabielski;3
Movie;Scott Stewart;3
Movie;Akiva Schaffer;3
Movie;Tom Hooper;3
Movie;Andrzej Bartkowiak;3
Movie;Sunil Sukthankar;3
Movie;Adrian Teh;3
Movie;Sebastián Schindel;3
Movie;Pidi Baiq;3
Movie;Satish Rajwade;3
Movie;Toka McBaror;3
Movie;Joe Dante;2
Movie;Harold Cronk;2
Movie;Harvey Lowry;2
Movie;Joe DeMaio;2
Movie;Will Yapp;2
Movie;Hazem Fouda;2
Movie;Heber Cannon;2
Movie;Heidi Ewing;2
Movie;Herman Yau;2
Movie;Wes Craven;2
Movie;Shinji Aramaki;2
Movie;Sean Cisterna;2
Movie;Hideaki Anno;2
Movie;Terry Jones;2
Movie;Hiromasa Yonebayashi;2
Movie;Sherif Arafa;2
Movie;Howard Zieff;2
Movie;Jim Henson;2
Movie;Hannah Fidell;2
Movie;Yorgos Lanthimos;2
Movie;Guy Ritchie;2
Movie;Scott Hicks;2
Movie;Gregory Caruso;2
Movie;Shlok Sharma;2
Movie;John Ford;2
Movie;Griffin Dunne;2
Movie;John Erick Dowdle;2
Movie;Shivam Nair;2
Movie;Yoshiyuki Momose;2
Movie;Gus Van Sant;2
Movie;John Duigan;2
Movie;John Dahl;2
Movie;Joe Roth;2
Movie;Scott L. Montoya;2
Movie;Hadi El Bagoury;2
Movie;Johannes Roberts;2
Movie;Scott Moore;2
